,,,608,,,,,
2.79,0.630831805,0.919858329,2.764601535,-25.13274123,,,,
2.8,0.65847782,0.914831781,2.513274123,8.97E-12,,,,
2.81,0.683610561,0.907291958,2.513274123,-25.13274123,,,,
2.82,0.708743303,0.899752136,2.261946711,-25.13274123,,,,
2.83,0.73136277,0.887185765,2.010619298,-7.86E-12,,,,
2.84,0.751468963,0.874619395,2.010619298,-50.26548246,,,,
2.85,0.771575156,0.85953975,1.507964474,-25.13274123,,,,
2.86,0.7866548,0.841946831,1.256637061,3.38E-12,,,,
2.87,0.799221171,0.824353912,1.256637061,-25.13274123,,,,
2.88,0.811787542,0.804247719,1.005309649,-25.13274123,,,,
2.89,0.821840638,0.781628252,0.753982237,-25.13274123,,,,
2.9,0.829380461,0.756495511,0.502654825,-25.13274123,,,,
2.91,0.834407009,0.73136277,0.251327412,-25.13274123,,,,
2.92,0.836920283,0.703716754,0,-25.13274123,,,,
2.93,0.836920283,0.676070739,-0.251327412,1.11E-14,,,,
2.94,0.834407009,0.64591145,-0.251327412,-50.26548246,,,,
2.95,0.831893735,0.613238886,-0.753982237,4.46E-12,,,,
2.96,0.824353912,0.580566322,-0.753982237,-25.13274123,,,,
2.97,0.81681409,0.545380485,-1.005309649,-25.13274123,,,,
2.98,0.806760993,0.510194647,-1.256637061,-7.82E-12,,,,
2.99,0.794194623,0.472495535,-1.256637061,-25.13274123,,,,
3,0.781628252,0.434796423,-1.507964474,-25.13274123,,,,
3.01,0.766548607,0.397097311,-1.759291886,-25.13274123,,,,
3.02,0.748955689,0.356884925,-2.010619298,-25.13274123,,,,
3.03,0.728849496,0.316672539,-2.261946711,-8.97E-12,,,,
3.04,0.706230029,0.273946879,-2.261946711,-25.13274123,,,,
3.05,0.683610561,0.233734493,-2.513274123,-25.13274123,,,,
3.06,0.65847782,0.191008833,-2.764601535,1.23E-11,,,,
3.07,0.630831805,0.150796447,-2.764601535,-1.34E-11,,,,
3.08,0.603185789,0.108070787,-2.764601535,-50.26548246,,,,
3.09,0.575539774,0.065345127,-3.26725636,-1.56E-11,,,,
3.1,0.542867211,0.022619467,-3.26725636,1.39E-11,,,,
3.11,0.510194647,-0.020106193,-3.26725636,-25.13274123,,,,
3.12,0.477522083,-0.060318579,-3.518583772,-25.13274123,,,,
3.13,0.442336246,-0.103044239,-3.769911184,-1.67E-11,,,,
3.14,0.404637134,-0.143256625,-3.769911184,1.67E-11,,,,
3.15,0.366938022,-0.183469011,-3.769911184,-1.67E-11,,,,
3.16,0.32923891,-0.223681397,-3.769911184,-25.13274123,,,,
3.17,0.291539798,-0.263893783,-4.021238597,-1.82E-11,,,,
3.18,0.251327412,-0.301592895,-4.021238597,1.82E-11,,,,
3.19,0.211115026,-0.334265458,-4.021238597,-1.82E-11,,,,
3.2,0.17090264,-0.369451296,-4.021238597,1.79E-11,,,,
3.21,0.130690254,-0.404637134,-4.021238597,-25.13274123,,,,
3.22,0.090477868,-0.439822972,-4.272566009,25.13274123,,,,
3.23,0.047752208,-0.469982261,-4.021238597,-1.79E-11,,,,
3.24,0.007539822,-0.50014155,-4.021238597,0,,,,
3.25,-0.032672564,-0.53030084,-4.021238597,1.79E-11,,,,
3.26,-0.07288495,-0.557946855,-4.021238597,-1.79E-11,,,,
3.27,-0.113097336,-0.583079597,-4.021238597,1.77E-11,,,,
3.28,-0.153309721,-0.608212338,-4.021238597,25.13274123,,,,
3.29,-0.193522107,-0.630831805,-3.769911184,1.65E-11,,,,
3.3,-0.231221219,-0.650937998,-3.769911184,-1.65E-11,,,,
3.31,-0.268920331,-0.668530917,-3.769911184,25.13274123,,,,
3.32,-0.306619443,-0.686123836,-3.518583772,-1.45E-11,,,,
3.33,-0.341805281,-0.70120348,-3.518583772,1.51E-11,,,,
3.34,-0.376991118,-0.713769851,-3.518583772,25.13274123,,,,
3.35,-0.412176956,-0.723822947,-3.26725636,25.13274123,,,,
3.36,-0.44484952,-0.733876044,-3.015928947,-1.39E-11,,,,
3.37,-0.475008809,-0.738902592,-3.015928947,25.13274123,,,,
3.38,-0.505168099,-0.74392914,-2.764601535,-1.23E-11,,,,
3.39,-0.532814114,-0.746442414,-2.764601535,25.13274123,,,,
3.4,-0.560460129,-0.748955689,-2.513274123,-1.12E-11,,,,
3.41,-0.585592871,-0.746442414,-2.513274123,25.13274123,,,,
3.42,-0.610725612,-0.74392914,-2.261946711,25.13274123,,,,
3.43,-0.633345079,-0.738902592,-2.010619298,25.13274123,,,,
3.44,-0.653451272,-0.73136277,-1.759291886,-7.82E-12,,,,
3.45,-0.671044191,-0.721309673,-1.759291886,25.13274123,,,,
3.46,-0.68863711,-0.711256577,-1.507964474,-6.71E-12,,,,
3.47,-0.703716754,-0.698690206,-1.507964474,25.13274123,,,,
3.48,-0.718796399,-0.683610561,-1.256637061,25.13274123,,,,
3.49,-0.73136277,-0.668530917,-1.005309649,25.13274123,,,,
3.5,-0.741415866,-0.650937998,-0.753982237,2.24E-12,,,,
3.51,-0.748955689,-0.630831805,-0.753982237,25.13274123,,,,
3.52,-0.756495511,-0.610725612,-0.502654825,25.13274123,,,,
3.53,-0.761522059,-0.588106145,-0.251327412,-2.23E-12,,,,
3.54,-0.764035333,-0.562973404,-0.251327412,25.13274123,,,,
3.55,-0.766548607,-0.537840662,0,25.13274123,,,,
3.56,-0.766548607,-0.510194647,0.251327412,25.13274123,,,,
3.57,-0.764035333,-0.482548632,0.502654825,2.24E-12,,,,
3.58,-0.759008785,-0.452389342,0.502654825,25.13274123,,,,
3.59,-0.753982237,-0.422230053,0.753982237,25.13274123,,,,
3.6,-0.746442414,-0.389557489,1.005309649,-5.60E-12,,,,
3.61,-0.736389318,-0.356884925,1.005309649,25.13274123,,,,
3.62,-0.726336222,-0.324212362,1.256637061,25.13274123,,,,
3.63,-0.713769851,-0.289026524,1.507964474,4.49E-12,,,,
3.64,-0.698690206,-0.253840686,1.507964474,25.13274123,,,,
3.65,-0.683610561,-0.218654849,1.759291886,25.13274123,,,,
3.66,-0.666017643,-0.180955737,2.010619298,-8.97E-12,,,,
3.67,-0.64591145,-0.143256625,2.010619298,25.13274123,,,,
3.68,-0.625805257,-0.108070787,2.261946711,-1.01E-11,,,,
3.69,-0.603185789,-0.070371675,2.261946711,25.13274123,,,,
3.7,-0.580566322,-0.035185838,2.513274123,-1.12E-11,,,,
3.71,-0.555433581,0.002513274,2.513274123,25.13274123,,,,
3.72,-0.53030084,0.040212386,2.764601535,-1.17E-11,,,,
3.73,-0.502654825,0.075398224,2.764601535,25.13274123,,,,
3.74,-0.475008809,0.113097336,3.015928947,5.33E-13,,,,
3.75,-0.44484952,0.150796447,3.015928947,25.13274123,,,,
3.76,-0.41469023,0.185982285,3.26725636,-25.13274123,,,,
3.77,-0.382017667,0.221168123,3.015928947,50.26548246,,,,
3.78,-0.351858377,0.256353961,3.518583772,-25.13274123,,,,
3.79,-0.316672539,0.291539798,3.26725636,25.13274123,,,,
3.8,-0.283999976,0.326725636,3.518583772,1.59E-11,,,,
3.81,-0.248814138,0.3593982,3.518583772,-1.59E-11,,,,
3.82,-0.2136283,0.389557489,3.518583772,1.59E-11,,,,
3.83,-0.178442463,0.422230053,3.518583772,25.13274123,,,,
3.84,-0.143256625,0.452389342,3.769911184,-25.13274123,,,,
3.85,-0.105557513,0.480035357,3.518583772,25.13274123,,,,
3.86,-0.070371675,0.507681373,3.769911184,-25.13274123,,,,
3.87,-0.032672564,0.532814114,3.518583772,-1.56E-11,,,,
3.88,0.002513274,0.557946855,3.518583772,25.13274123,,,,
3.89,0.037699112,0.580566322,3.769911184,-25.13274123,,,,
3.9,0.075398224,0.603185789,3.518583772,1.59E-11,,,,
3.91,0.110584061,0.623291982,3.518583772,-25.13274123,,,,
3.92,0.145769899,0.640884901,3.26725636,25.13274123,,,,
3.93,0.178442463,0.65847782,3.518583772,-25.13274123,,,,
3.94,0.2136283,0.673557465,3.26725636,-25.13274123,,,,
3.95,0.246300864,0.68863711,3.015928947,-1.37E-11,,,,
3.96,0.276460154,0.698690206,3.015928947,1.34E-11,,,,
3.97,0.306619443,0.708743303,3.015928947,-1.34E-11,,,,
3.98,0.336778732,0.718796399,3.015928947,-25.13274123,,,,
3.99,0.366938022,0.723822947,2.764601535,5.33E-13,,,,
4,0.394584037,0.728849496,2.764601535,-25.13274123,,,,
4.01,0.422230053,0.733876044,2.513274123,-2.18E-11,,,,
4.02,0.447362794,0.733876044,2.513274123,-25.13274123,,,,
4.03,0.472495535,0.733876044,2.261946711,-25.13274123,,,,
4.04,0.495115002,0.73136277,2.010619298,1.11E-12,,,,
4.05,0.515221195,0.728849496,2.010619298,-25.13274123,,,,
4.06,0.535327388,0.723822947,1.759291886,1.56E-11,,,,
4.07,0.552920307,0.716283125,1.759291886,-25.13274123,,,,
4.08,0.570513226,0.708743303,1.507964474,-25.13274123,,,,
4.09,0.585592871,0.696176932,1.256637061,-25.13274123,,,,
4.1,0.598159241,0.686123836,1.005309649,8.95E-12,,,,
4.11,0.608212338,0.671044191,1.005309649,-25.13274123,,,,
4.12,0.618265434,0.655964546,0.753982237,0,,,,
4.13,0.625805257,0.640884901,0.753982237,-50.26548246,,,,
4.14,0.633345079,0.623291982,0.251327412,2.24E-12,,,,
4.15,0.635858353,0.603185789,0.251327412,-25.13274123,,,,
